{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'LMS.exe', 'pid': 5560, 'username': None}
{'name': 'svchost.exe', 'pid': 5572, 'username': None}
{'name': 'svchost.exe', 'pid': 5668, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 5700, 'username': None}
{'name': 'Lenovo Migration Assistant Srv.exe', 'pid': 5752, 'username': 'RAMBO-2684\\Legion'}
{'name': 'WmiPrvSE.exe', 'pid': 5756, 'username': None}
{'name': 'svchost.exe', 'pid': 5884, 'username': None}
{'name': 'svchost.exe', 'pid': 5904, 'username': None}
{'name': 'chrome.exe', 'pid': 5968, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 6076, 'username': 'RAMBO-2684\\Legion'}
{'name': 'explorer.exe', 'pid': 6080, 'username': 'RAMBO-2684\\Legion'}
{'name': 'conhost.exe', 'pid': 6116, 'username': None}
{'name': 'Lenovo.Modern.ImController.exe', 'pid': 6124, 'username': None}
{'name': 'LenovoVantageService.exe', 'pid': 6132, 'username': None}
{'name': 'svchost.exe', 'pid': 6148, 'username': None}
{'name': 'wlanext.exe', 'pid': 6164, 'username': None}
{'name': 'chrome.exe', 'pid': 6192, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 6400, 'username': None}
{'name': 'svchost.exe', 'pid': 6412, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 6548, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 6756, 'username': None}
{'name': 'NVDisplay.Container.exe', 'pid': 6772, 'username': None}
{'name': 'svchost.exe', 'pid': 6804, 'username': None}
{'name': 'svchost.exe', 'pid': 6812, 'username': None}
{'name': 'conhost.exe', 'pid': 6840, 'username': None}
{'name': 'spoolsv.exe', 'pid': 6940, 'username': None}
{'name': 'svchost.exe', 'pid': 6996, 'username': None}
{'name': 'msedge.exe', 'pid': 7040, 'username': 'RAMBO-2684\\Legion'}
{'name': 'OPSSVC.EXE', 'pid': 7596, 'username': None}
{'name': 'Lenovo.Modern.ImController.PluginHost.SettingsApp.exe', 'pid': 7612, 'username': 'RAMBO-2684\\Legion'}
{'name': 'armsvc.exe', 'pid': 7652, 'username': None}
{'name': 'QHPISVR.EXE', 'pid': 7684, 'username': None}
{'name': 'AdobeUpdateService.exe', 'pid': 7692, 'username': None}
{'name': 'AGMService.exe', 'pid': 7720, 'username': None}
{'name': 'AGSService.exe', 'pid': 7736, 'username': None}
{'name': 'AnyDesk.exe', 'pid': 7744, 'username': None}
{'name': 'conhost.exe', 'pid': 7752, 'username': None}
{'name': 'AppleMobileDeviceService.exe', 'pid': 7796, 'username': None}
{'name': 'BDSSVC.EXE', 'pid': 7812, 'username': None}
{'name': 'mDNSResponder.exe', 'pid': 7820, 'username': None}
{'name': 'svchost.exe', 'pid': 7840, 'username': None}
{'name': 'svchost.exe', 'pid': 7928, 'username': None}
{'name': 'svchost.exe', 'pid': 7980, 'username': None}
{'name': 'DAX3API.exe', 'pid': 8012, 'username': None}
{'name': 'DSAService.exe', 'pid': 8020, 'username': None}
{'name': 'ibtsiva.exe', 'pid': 8028, 'username': None}
{'name': 'cmw_srv.exe', 'pid': 8036, 'username': None}
{'name': 'emlproxy.exe', 'pid': 8044, 'username': None}
{'name': 'FMService64.exe', 'pid': 8056, 'username': None}
{'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'pid': 8072, 'username': 'RAMBO-2684\\Legion'}
{'name': 'FbService.exe', 'pid': 8076, 'username': None}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 8084, 'username': None}
{'name': 'svchost.exe', 'pid': 8096, 'username': None}
{'name': 'esif_uf.exe', 'pid': 8184, 'username': None}
{'name': 'LogiRegistryService.exe', 'pid': 8228, 'username': None}
{'name': 'mfemms.exe', 'pid': 8252, 'username': None}
{'name': 'svchost.exe', 'pid': 8304, 'username': None}
{'name': 'nvcontainer.exe', 'pid': 8328, 'username': None}
{'name': 'REPRSVC.EXE', 'pid': 8336, 'username': None}
{'name': 'QUHLPSVC.EXE', 'pid': 8352, 'username': None}
{'name': 'RtkAudUService64.exe', 'pid': 8388, 'username': None}
{'name': 'svchost.exe', 'pid': 8428, 'username': None}
{'name': 'RstMwService.exe', 'pid': 8464, 'username': None}
{'name': 'msedge.exe', 'pid': 8484, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 8524, 'username': None}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 8632, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 8644, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 8656, 'username': None}
{'name': 'CastSrv.exe', 'pid': 8708, 'username': 'RAMBO-2684\\Legion'}
{'name': 'unsecapp.exe', 'pid': 8864, 'username': None}
{'name': 'svchost.exe', 'pid': 8872, 'username': None}
{'name': 'svchost.exe', 'pid': 8936, 'username': None}
{'name': 'jhi_service.exe', 'pid': 9112, 'username': None}
{'name': 'DAX3API.exe', 'pid': 9156, 'username': None}
{'name': 'svchost.exe', 'pid': 9172, 'username': None}
{'name': 'cmd.exe', 'pid': 9388, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 9396, 'username': None}
{'name': 'mfevtps.exe', 'pid': 9536, 'username': None}
{'name': 'SgrmBroker.exe', 'pid': 9848, 'username': None}
{'name': 'svchost.exe', 'pid': 9904, 'username': None}
{'name': 'Lenovo.Modern.ImController.PluginHost.CompanionApp.exe', 'pid': 9948, 'username': 'RAMBO-2684\\Legion'}
{'name': 'SCANWSCS.EXE', 'pid': 10080, 'username': None}
{'name': 'dwm.exe', 'pid': 10132, 'username': None}
{'name': 'dllhost.exe', 'pid': 10164, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 10200, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 10232, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 10412, 'username': None}
{'name': 'mfefire.exe', 'pid': 10744, 'username': None}
{'name': 'MMSSHOST.exe', 'pid': 10860, 'username': None}
{'name': 'cmd.exe', 'pid': 11344, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 11372, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 11660, 'username': 'RAMBO-2684\\Legion'}
{'name': 'DSAUpdateService.exe', 'pid': 11820, 'username': None}
{'name': 'TextInputHost.exe', 'pid': 11848, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 12012, 'username': None}
{'name': 'python.exe', 'pid': 12308, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 12384, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 12444, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 12460, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 12464, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 13012, 'username': None}
{'name': 'msedge.exe', 'pid': 13032, 'username': 'RAMBO-2684\\Legion'}
{'name': 'nvcontainer.exe', 'pid': 13116, 'username': 'RAMBO-2684\\Legion'}
{'name': 'taskhostw.exe', 'pid': 13204, 'username': 'RAMBO-2684\\Legion'}
{'name': 'pythonw.exe', 'pid': 13268, 'username': 'RAMBO-2684\\Legion'}
{'name': 'UserOOBEBroker.exe', 'pid': 13444, 'username': 'RAMBO-2684\\Legion'}
{'name': 'winlogon.exe', 'pid': 13568, 'username': None}
{'name': 'cmd.exe', 'pid': 13796, 'username': 'RAMBO-2684\\Legion'}
{'name': 'NVIDIA Web Helper.exe', 'pid': 13812, 'username': 'RAMBO-2684\\Legion'}
{'name': 'python.exe', 'pid': 14052, 'username': 'RAMBO-2684\\Legion'}
{'name': 'MoUsoCoreWorker.exe', 'pid': 14284, 'username': None}
{'name': 'conhost.exe', 'pid': 14496, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RtkAudUService64.exe', 'pid': 14624, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 14724, 'username': None}
{'name': 'OSPPSVC.EXE', 'pid': 14736, 'username': None}
{'name': 'WWAHost.exe', 'pid': 14808, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 15188, 'username': 'RAMBO-2684\\Legion'}
{'name': 'taskhostw.exe', 'pid': 15296, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 15412, 'username': None}
{'name': 'mfevtps.exe', 'pid': 15428, 'username': None}
{'name': 'svchost.exe', 'pid': 15440, 'username': None}
{'name': 'chrome.exe', 'pid': 15628, 'username': 'RAMBO-2684\\Legion'}
{'name': 'conhost.exe', 'pid': 15788, 'username': 'RAMBO-2684\\Legion'}
{'name': 'python.exe', 'pid': 15824, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 16036, 'username': None}
{'name': 'Video.UI.exe', 'pid': 16096, 'username': 'RAMBO-2684\\Legion'}
{'name': 'utility.exe', 'pid': 16152, 'username': 'RAMBO-2684\\Legion'}
{'name': 'LockApp.exe', 'pid': 16224, 'username': 'RAMBO-2684\\Legion'}
{'name': 'cmd.exe', 'pid': 16396, 'username': 'RAMBO-2684\\Legion'}
{'name': 'Microsoft.Photos.exe', 'pid': 16448, 'username': 'RAMBO-2684\\Legion'}
{'name': 'igfxEM.exe', 'pid': 16480, 'username': 'RAMBO-2684\\Legion'}
{'name': 'rundll32.exe', 'pid': 16508, 'username': 'RAMBO-2684\\Legion'}
{'name': 'GoogleCrashHandler.exe', 'pid': 16536, 'username': None}
{'name': 'svchost.exe', 'pid': 16552, 'username': 'RAMBO-2684\\Legion'}
{'name': 'Lenovo.Modern.ImController.PluginHost.CompanionApp.exe', 'pid': 16596, 'username': 'RAMBO-2684\\Legion'}
{'name': 'GoogleCrashHandler64.exe', 'pid': 16604, 'username': None}
{'name': 'ONLINENT.EXE', 'pid': 16748, 'username': 'RAMBO-2684\\Legion'}
