{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 5544, 'name': 'svchost.exe', 'username': None}
{'pid': 5560, 'name': 'LMS.exe', 'username': None}
{'pid': 5572, 'name': 'svchost.exe', 'username': None}
{'pid': 5668, 'name': 'svchost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 5700, 'name': 'svchost.exe', 'username': None}
{'pid': 5756, 'name': 'WmiPrvSE.exe', 'username': None}
{'pid': 5884, 'name': 'svchost.exe', 'username': None}
{'pid': 5904, 'name': 'svchost.exe', 'username': None}
{'pid': 6076, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 6080, 'name': 'explorer.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 6116, 'name': 'conhost.exe', 'username': None}
{'pid': 6124, 'name': 'Lenovo.Modern.ImController.exe', 'username': None}
{'pid': 6132, 'name': 'LenovoVantageService.exe', 'username': None}
{'pid': 6148, 'name': 'svchost.exe', 'username': None}
{'pid': 6164, 'name': 'wlanext.exe', 'username': None}
{'pid': 6296, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 6400, 'name': 'svchost.exe', 'username': None}
{'pid': 6412, 'name': 'svchost.exe', 'username': None}
{'pid': 6756, 'name': 'svchost.exe', 'username': None}
{'pid': 6772, 'name': 'NVDisplay.Container.exe', 'username': None}
{'pid': 6804, 'name': 'svchost.exe', 'username': None}
{'pid': 6840, 'name': 'conhost.exe', 'username': None}
{'pid': 6940, 'name': 'spoolsv.exe', 'username': None}
{'pid': 6996, 'name': 'svchost.exe', 'username': None}
{'pid': 7596, 'name': 'OPSSVC.EXE', 'username': None}
{'pid': 7612, 'name': 'Lenovo.Modern.ImController.PluginHost.SettingsApp.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 7652, 'name': 'armsvc.exe', 'username': None}
{'pid': 7684, 'name': 'QHPISVR.EXE', 'username': None}
{'pid': 7692, 'name': 'AdobeUpdateService.exe', 'username': None}
{'pid': 7720, 'name': 'AGMService.exe', 'username': None}
{'pid': 7736, 'name': 'AGSService.exe', 'username': None}
{'pid': 7744, 'name': 'AnyDesk.exe', 'username': None}
{'pid': 7752, 'name': 'conhost.exe', 'username': None}
{'pid': 7796, 'name': 'AppleMobileDeviceService.exe', 'username': None}
{'pid': 7812, 'name': 'BDSSVC.EXE', 'username': None}
{'pid': 7820, 'name': 'mDNSResponder.exe', 'username': None}
{'pid': 7840, 'name': 'svchost.exe', 'username': None}
{'pid': 7864, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 7928, 'name': 'svchost.exe', 'username': None}
{'pid': 7980, 'name': 'svchost.exe', 'username': None}
{'pid': 8012, 'name': 'DAX3API.exe', 'username': None}
{'pid': 8020, 'name': 'DSAService.exe', 'username': None}
{'pid': 8028, 'name': 'ibtsiva.exe', 'username': None}
{'pid': 8036, 'name': 'cmw_srv.exe', 'username': None}
{'pid': 8044, 'name': 'emlproxy.exe', 'username': None}
{'pid': 8056, 'name': 'FMService64.exe', 'username': None}
{'pid': 8076, 'name': 'FbService.exe', 'username': None}
{'pid': 8084, 'name': 'OneApp.IGCC.WinService.exe', 'username': None}
{'pid': 8096, 'name': 'svchost.exe', 'username': None}
{'pid': 8184, 'name': 'esif_uf.exe', 'username': None}
{'pid': 8228, 'name': 'LogiRegistryService.exe', 'username': None}
{'pid': 8252, 'name': 'mfemms.exe', 'username': None}
{'pid': 8304, 'name': 'svchost.exe', 'username': None}
{'pid': 8328, 'name': 'nvcontainer.exe', 'username': None}
{'pid': 8336, 'name': 'REPRSVC.EXE', 'username': None}
{'pid': 8352, 'name': 'QUHLPSVC.EXE', 'username': None}
{'pid': 8388, 'name': 'RtkAudUService64.exe', 'username': None}
{'pid': 8428, 'name': 'svchost.exe', 'username': None}
{'pid': 8464, 'name': 'RstMwService.exe', 'username': None}
{'pid': 8524, 'name': 'svchost.exe', 'username': None}
{'pid': 8632, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None}
{'pid': 8644, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 8656, 'name': 'svchost.exe', 'username': None}
{'pid': 8708, 'name': 'CastSrv.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 8864, 'name': 'unsecapp.exe', 'username': None}
{'pid': 8872, 'name': 'svchost.exe', 'username': None}
{'pid': 8936, 'name': 'svchost.exe', 'username': None}
